120	[0, 0, 0, 4, 62, 83, 25, 52, 59, 111, 14, 24, 96, 58, 41, 91, 62, 83, 101, 100, 77, 8, 57, 22, 34, 24, 86, 9, 11, 71, 76, 34, 70, 63, 67, 66, 36, 41, 42, 19, 17, 44, 17, 14, 109, 17, 101, 17, 17, 74, 12, 29, 79, 62, 24, 17, 79, 19, 15, 88, 65, 104, 17, 9, 91, 9, 33, 84, 37, 57, 58, 84, 7, 22, 48, 103, 106, 73, 27, 106, 111, 17, 62, 71, 107, 32, 23, 2, 78, 66, 10, 67, 92, 96, 34, 72, 15, 46, 112, 112, 110, 120]	[1, 2, 2, 2, 2, 2, 2, 1, 3, 1, 3, 1, 3, 2, 2, 3, 1, 1, 3, 1, 1, 3, 2, 1, 3, 3, 1, 1, 3, 3, 3, 2, 1, 1, 2, 2, 1, 3, 2, 1, 3, 2, 3, 3, 1, 3, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 1, 3, 1, 3, 1, 2, 1, 1, 2, 2, 3, 2, 2, 3, 3, 2, 1, 1, 1, 3, 3, 1, 2, 3, 2, 3, 3, 2, 2, 1, 2, 2, 3, 3, 2, 2, 2, 2, 1]
102	[0, 0, 9, 0, 54, 31, 32, 87, 86, 51, 44, 8, 31, 64, 69, 49, 61, 30, 67, 14, 10, 8, 45, 98, 13, 44, 42, 42, 14, 56, 23, 9, 22, 77, 9, 71, 88, 33, 11, 20, 4, 60, 54, 92, 51, 9, 39, 81, 28, 85, 39, 93, 35, 53, 80, 37, 64, 44, 93, 79, 25, 7, 2, 14, 51, 11, 3, 45, 55, 31, 46, 2, 57, 81, 21, 19, 51, 36, 66, 26, 49, 43, 9, 12, 14, 51, 56, 17, 3, 77, 33, 65, 91, 39, 62, 80, 85, 92, 101, 88, 64, 102]	[1, 1, 1, 2, 3, 1, 3, 3, 2, 2, 2, 1, 3, 1, 2, 1, 3, 2, 3, 2, 2, 3, 3, 1, 2, 3, 2, 3, 3, 1, 1, 3, 2, 2, 1, 1, 2, 2, 1, 3, 2, 2, 1, 1, 2, 3, 2, 1, 1, 2, 3, 1, 2, 3, 2, 3, 2, 1, 2, 3, 2, 2, 1, 3, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 3, 2, 1, 2, 3, 2, 1, 2, 2, 1, 3, 3, 1, 3, 2, 3, 2, 2, 2, 3, 3, 1, 1, 3, 2, 3, 1, 1]
107	[0, 0, 0, 84, 89, 65, 28, 95, 95, 81, 90, 92, 44, 70, 79, 43, 19, 56, 1, 29, 77, 52, 2, 61, 24, 33, 14, 13, 8, 1, 85, 76, 59, 24, 79, 38, 85, 69, 62, 23, 40, 6, 18, 18, 94, 22, 15, 50, 65, 31, 15, 23, 64, 52, 22, 8, 82, 90, 77, 64, 31, 92, 5, 85, 95, 69, 40, 23, 94, 3, 40, 84, 2, 8, 17, 93, 62, 75, 2, 24, 19, 38, 13, 23, 40, 84, 61, 44, 82, 4, 4, 13, 0, 28, 56, 9, 39, 92, 33, 98, 99, 107]	[1, 2, 1, 2, 2, 1, 2, 2, 3, 3, 1, 3, 3, 1, 1, 2, 2, 3, 3, 3, 2, 2, 1, 3, 3, 2, 3, 1, 3, 3, 2, 2, 1, 3, 3, 2, 1, 2, 3, 3, 3, 1, 2, 2, 2, 2, 1, 3, 2, 1, 3, 1, 1, 3, 1, 3, 2, 2, 2, 3, 2, 3, 2, 1, 1, 1, 3, 3, 2, 3, 2, 1, 1, 1, 2, 3, 2, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 2, 1, 3, 2, 2, 1, 1, 2, 3, 1, 1]
114	[0, 0, 0, 28, 89, 61, 92, 77, 87, 63, 26, 28, 45, 96, 100, 65, 86, 13, 66, 44, 36, 61, 72, 106, 99, 34, 2, 65, 53, 20, 31, 63, 4, 70, 44, 14, 98, 34, 7, 87, 31, 85, 74, 81, 12, 46, 21, 0, 93, 106, 63, 96, 30, 53, 68, 77, 61, 41, 9, 29, 71, 27, 81, 104, 9, 96, 55, 76, 91, 46, 74, 101, 17, 96, 0, 67, 51, 93, 45, 89, 55, 36, 53, 96, 82, 70, 14, 95, 99, 103, 101, 78, 46, 7, 48, 109, 107, 101, 109, 111, 105, 114]	[1, 2, 1, 1, 3, 2, 3, 2, 2, 2, 2, 3, 2, 3, 1, 1, 2, 3, 2, 2, 1, 3, 1, 1, 2, 2, 3, 2, 2, 2, 3, 2, 3, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 2, 1, 3, 1, 1, 2, 2, 2, 3, 2, 3, 3, 3, 2, 3, 3, 1, 2, 3, 2, 3, 1, 2, 3, 3, 1, 3, 2, 2, 1, 3, 3, 1, 1, 3, 1, 1, 2, 1, 3, 3, 3, 3, 2, 3, 2, 2, 3, 3, 2, 2, 3, 2, 2, 1, 1, 1]
93	[0, 9, 0, 5, 0, 69, 30, 22, 67, 71, 50, 86, 15, 77, 11, 26, 27, 71, 85, 56, 59, 79, 50, 73, 63, 76, 76, 7, 9, 20, 39, 12, 68, 11, 12, 15, 58, 25, 13, 43, 71, 71, 57, 50, 26, 61, 4, 44, 33, 45, 8, 12, 85, 87, 12, 69, 69, 17, 46, 17, 24, 25, 55, 48, 59, 84, 25, 17, 88, 82, 82, 5, 72, 16, 21, 72, 12, 83, 63, 32, 26, 41, 57, 41, 1, 18, 87, 1, 1, 60, 8, 2, 31, 31, 50, 11, 11, 87, 91, 40, 92, 93]	[1, 2, 1, 3, 3, 1, 3, 3, 3, 2, 1, 3, 1, 2, 3, 3, 3, 3, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 3, 2, 3, 1, 3, 1, 3, 3, 3, 3, 1, 3, 1, 2, 1, 3, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 2, 1, 2, 3, 3, 2, 3, 3, 2, 2, 2, 2, 3, 3, 2, 2, 3, 1, 3, 2, 2, 3, 1, 2, 1, 2, 2, 2, 3, 1, 2, 1, 2, 2, 1, 3, 1, 3, 2, 2, 3, 1, 3, 1, 1]
88	[0, 12, 0, 0, 26, 0, 26, 6, 60, 55, 15, 59, 4, 62, 45, 53, 82, 61, 48, 52, 80, 60, 60, 80, 77, 46, 57, 64, 31, 25, 55, 45, 34, 4, 39, 67, 66, 37, 12, 30, 4, 14, 55, 15, 25, 17, 6, 12, 13, 8, 23, 78, 13, 66, 29, 18, 78, 71, 51, 37, 0, 28, 43, 14, 25, 63, 6, 29, 27, 7, 40, 71, 25, 31, 6, 8, 13, 66, 40, 50, 67, 63, 47, 67, 51, 13, 71, 79, 63, 40, 78, 31, 47, 35, 41, 66, 40, 86, 82, 83, 73, 88]	[1, 2, 1, 3, 3, 2, 3, 3, 2, 1, 1, 1, 1, 1, 3, 2, 2, 3, 3, 1, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 2, 3, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 3, 3, 1, 3, 2, 1, 2, 3, 1, 2, 1, 2, 3, 3, 2, 3, 2, 2, 3, 3, 1, 1, 3, 3, 2, 3, 1, 1, 3, 3, 1, 1, 2, 3, 3, 1, 3, 2, 3, 3, 3, 3, 1, 3, 3, 2, 1, 2, 1, 2, 3, 2, 1, 3, 1, 2, 2, 2, 2, 1]
120	[0, 0, 7, 0, 71, 2, 73, 68, 98, 103, 48, 90, 70, 30, 7, 105, 4, 93, 27, 44, 20, 85, 81, 56, 23, 23, 66, 70, 42, 31, 81, 30, 18, 4, 66, 98, 111, 24, 111, 88, 5, 29, 2, 66, 52, 21, 56, 62, 53, 100, 4, 56, 17, 42, 38, 93, 31, 51, 25, 5, 77, 53, 115, 75, 6, 13, 77, 21, 83, 49, 7, 31, 37, 107, 12, 28, 42, 96, 56, 2, 102, 29, 104, 67, 16, 2, 74, 87, 10, 81, 17, 30, 81, 2, 72, 41, 62, 73, 110, 118, 24, 120]	[1, 3, 1, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 1, 2, 1, 3, 3, 2, 2, 1, 1, 1, 1, 2, 2, 3, 3, 1, 3, 3, 1, 1, 1, 2, 3, 3, 1, 3, 3, 2, 3, 3, 2, 2, 1, 3, 1, 3, 3, 2, 2, 2, 1, 1, 2, 1, 3, 3, 2, 1, 1, 3, 2, 3, 3, 1, 3, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 3, 2, 3, 3, 2, 2, 2, 1, 2, 1, 2, 3, 1, 3, 1]
115	[0, 0, 1, 2, 4, 27, 7, 101, 25, 58, 81, 95, 33, 63, 88, 70, 20, 9, 5, 44, 31, 92, 7, 20, 23, 45, 34, 97, 32, 26, 87, 23, 3, 69, 48, 53, 10, 62, 30, 53, 55, 0, 14, 63, 25, 31, 3, 92, 2, 30, 23, 28, 79, 8, 93, 53, 67, 106, 41, 58, 87, 31, 88, 40, 90, 28, 11, 7, 59, 7, 1, 7, 56, 89, 104, 35, 25, 40, 40, 43, 65, 45, 91, 90, 8, 93, 91, 104, 43, 85, 24, 62, 26, 76, 41, 40, 97, 108, 38, 107, 91, 115]	[1, 3, 1, 3, 2, 2, 2, 3, 3, 3, 3, 2, 1, 2, 2, 3, 2, 3, 1, 1, 3, 1, 2, 1, 2, 1, 2, 3, 2, 3, 1, 3, 1, 1, 2, 3, 1, 3, 1, 2, 3, 3, 1, 1, 3, 2, 3, 2, 3, 3, 3, 2, 2, 3, 1, 1, 1, 1, 3, 1, 3, 3, 2, 3, 3, 3, 2, 3, 1, 2, 2, 2, 2, 1, 2, 3, 1, 1, 1, 2, 3, 1, 3, 3, 1, 3, 2, 2, 3, 2, 3, 1, 2, 2, 3, 3, 3, 2, 2, 2, 3, 1]
107	[0, 0, 0, 12, 13, 5, 41, 64, 93, 31, 34, 35, 10, 22, 27, 58, 58, 3, 62, 51, 6, 43, 86, 101, 81, 69, 12, 2, 3, 20, 24, 93, 81, 62, 5, 41, 77, 25, 25, 101, 37, 83, 23, 45, 21, 98, 30, 5, 4, 34, 93, 11, 50, 35, 27, 88, 15, 30, 7, 47, 12, 49, 68, 54, 37, 44, 20, 15, 4, 12, 45, 81, 37, 29, 36, 39, 85, 20, 45, 54, 37, 93, 10, 3, 62, 69, 101, 3, 39, 65, 98, 33, 94, 27, 88, 36, 64, 98, 95, 88, 102, 107]	[1, 3, 2, 2, 3, 1, 3, 2, 2, 3, 1, 2, 2, 3, 1, 3, 2, 3, 3, 1, 1, 3, 1, 2, 3, 2, 3, 3, 1, 1, 1, 3, 3, 1, 3, 3, 3, 3, 3, 1, 2, 3, 2, 2, 1, 3, 2, 1, 3, 1, 2, 3, 3, 3, 2, 1, 2, 1, 1, 3, 2, 2, 2, 3, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 1, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 3, 1, 2, 3, 2, 1, 2, 1, 1, 1, 1, 2, 2, 3, 2, 1]
100	[0, 0, 6, 0, 45, 83, 73, 14, 11, 58, 12, 76, 49, 70, 12, 93, 76, 62, 9, 38, 15, 73, 3, 66, 13, 11, 66, 17, 63, 34, 86, 77, 31, 50, 1, 66, 22, 36, 73, 52, 31, 69, 45, 50, 28, 50, 2, 42, 85, 40, 48, 22, 36, 72, 29, 56, 86, 68, 62, 50, 45, 8, 28, 88, 14, 66, 6, 83, 12, 62, 63, 45, 36, 0, 14, 14, 5, 34, 40, 65, 60, 78, 20, 13, 51, 60, 36, 74, 31, 72, 64, 6, 78, 23, 62, 23, 57, 9, 93, 97, 93, 100]	[1, 3, 1, 3, 1, 1, 2, 1, 1, 1, 3, 2, 3, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 3, 3, 3, 2, 1, 1, 3, 3, 1, 2, 2, 3, 2, 3, 2, 3, 2, 1, 1, 2, 1, 2, 2, 3, 3, 3, 3, 3, 1, 1, 3, 3, 1, 3, 3, 3, 2, 3, 2, 1, 2, 1, 3, 1, 1, 3, 3, 3, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 3, 3, 3, 1, 2, 2, 2, 1, 2, 1, 3, 2, 3, 2, 2, 3, 2, 2, 1, 1]
